history points difference,market value difference,audience,table position difference,league titles difference,champions league titles difference,europa league titles difference,Rank difference,result
0,-0.48499999999999943,24.838,0,0,0,0,1,2
0,-15.815,12.942,0,0,0,-1,-6,1
0,-88.89,27.77,0,-32,-12,-2,-10,2
0,95.775,56.48,0,23,5,0,9,1
0,-5.989999999999998,16.961,0,-2,0,0,0,2
0,30.68,35.971,0,6,0,1,1,1
0,-1.625,9.231,0,0,0,0,0,1
0,-18.76,9.427,-1,-1,0,-5,-9,2
2,-18.935000000000002,5.948,-5,-8,0,0,-3,2
-2,3.925,17.895,2,0,0,0,2,2
-5,-61.989999999999995,20.31,7,-10,0,-2,-6,2
5,2.6550000000000002,9.748,-5,0,0,0,-6,1
-7,-101.52,14.934,7,-24,-5,0,-10,2
0,-4.08,43.801,-1,1,0,0,-2,1
7,1.2949999999999982,19.792,-9,2,0,-1,-2,1
0,-3.6049999999999995,22.697,-1,0,0,0,0,2
-7,8.775,18.638,8,-1,0,1,4,1
0,9.825,6.133,-1,0,0,0,3,1
0,16.765,39.952,-2,8,0,0,8,1
-7,-16.65,21.942,14,-1,0,0,-2,2
9,99.22,72.857,-13,24,5,0,8,1
5,19.315,32.469,-4,1,0,5,5,1
9,-0.7050000000000001,11.454,-11,0,0,0,3,2
-4,-7.525,14.853,1,0,0,0,-1,1
4,-72.24,24.675,-7,-31,-12,-2,-8,2
-8,-15.815000000000001,19.149,11,-8,0,0,-2,1
-7,-17.145,10.872,6,-1,0,-5,-10,2
-7,-14.52,13.887,3,0,0,-1,-5,2
13,65.595,62.906,-10,10,0,2,6,1
2,6.579999999999999,46.174,-2,0,0,0,0,1
-7,-102.44,14.922,11,-24,-5,0,-13,2
-5,0.15000000000000036,4.986,9,0,0,0,1,1
1,-17.11,17.415,9,-2,0,0,-4,1
6,82.31,65.102,-6,32,12,2,10,2
7,16.195,35.317,-9,1,0,5,4,1
3,-0.8349999999999991,18.518,-1,1,0,0,1,1
-5,-46.175,43.381,1,-2,0,-2,-4,2
10,102.995,51.645,-11,24,5,0,9,1
16,34.285,36.215,-8,6,0,1,1,1
2,7.039999999999999,48.237,1,1,0,0,2,1
-5,-16.51,20.266,-2,-4,0,-1,0,2
0,3.2700000000000005,17.56,1,0,0,0,2,2
-5,-11.3,5.345,-4,0,0,0,-2,2
-5,-15.440000000000001,10.874,4,0,0,-1,-8,1
1,3.134999999999999,19.585,-2,-1,0,0,1,1
-12,-100.825,13.305,16,-24,-5,0,-14,2
-10,-88.05499999999999,19.559,11,-33,-12,-2,-11,2
-2,45.794999999999995,60.823,3,9,0,-3,2,1
10,-1.294999999999999,18.528,-11,0,0,0,-1,2
10,19.8,34.43,-17,1,0,5,4,1
-10,0.08500000000000085,19.329,8,1,0,0,4,1
-1,85.755,71.205,-5,33,12,2,9,1
8,15.995000000000001,17.09,-3,0,0,1,4,1
7,14.864999999999998,42.07,-7,-2,0,1,-1,1
12,99.875,0.0,-15,24,5,0,8,1
-8,-8.18,15.799,2,0,0,0,-1,2
1,-26.58,48.792,2,-5,0,-1,-2,2
-10,-0.3349999999999991,23.951,13,0,0,0,2,2
-7,-13.825,9.935,9,0,0,-1,-9,2
2,-15.814999999999998,19.84,9,-2,0,0,-3,2
-9,-88.975,15.35,7,-33,-12,-2,-14,2
-14,-0.379999999999999,40.197,10,7,0,-5,-2,1
10,-1.5300000000000002,17.588,-3,1,0,0,5,2
12,89.53,63.705,-14,33,12,2,10,1
7,-19.085,10.509,-5,-8,0,0,-4,1
-1,-53.809999999999995,13.031,4,-10,0,-2,-5,2
14,12.875,16.709,-9,0,0,1,3,1
17,103.48,69.872,-19,24,5,0,8,1
12,14.485,44.375,-2,5,0,-4,-3,1
8,5.745,49.304,-10,1,0,0,1,1
-8,2.4799999999999995,14.769,2,-1,0,0,1,2
-2,-3.4450000000000003,17.545,6,-1,0,0,1,1
