date - time,team1,team2,result (team1 - team2),team1 player1,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3,attendance,place,round
19.08.2017 21:15,Girona,Atl. Madrid,2-2Finished,Aday,Alcala P.,Bernardo,Garcia B.,Granell A. (C),Iraizoz G. (G),Maffeo P.,Pons P.,Muniesa M.,Portu,Torres F.,null,null,null,Torres F.,Gabi (C),Gimenez J. M.,Griezmann A.,Hernandez L.,Juanfran,Koke,Niguez S.,Oblak J. (G),Savic S.,Torres F.,Barragan B.,Filipe Luis,Gameiro K.,11 511,Estadio Municipal de Montilivi (Girona),LaLiga - Round 1
21.08.2017 23:00,Malaga,Eibar,0-1Finished,Adrian,Baston B.,Baysse P.,Gonzalez D.,Hernandez L.,Jimenez R. (G),Juankar,Kuzmanovic Z.,Juanpi,Recio (C),Ramis I.,Cecchini E.,Keko,Kone B.,Ramis I.,Charles,Cote,Dmitrovic M. (G),Garcia D. (C),Garcia K.,Inui T.,Jordan J.,Oliveira P.,Pena R.,Ramis I.,Arbilla A.,Leon P.,Mesa N.,24 838,Estadio La Rosaleda (M?laga),LaLiga - Round 1
20.08.2017 21:15,Barcelona,Betis,2-0Finished,Alba J.,Alcacer P.,Busquets S.,Deulofeu G.,Mascherano J.,Messi L. (C),Rakitic I.,Semedo N.,Roberto S.,ter Stegen M. (G),Tosca A.,Iniesta A.,Rafinha,Suarez L.,Tosca A.,Barragan A.,Camarasa V.,Feddal Z.,Guardado A.,Joaquin (C),Leiva N.,Leon S.,Mandi A.,Narvaez J.,Tosca A.,Boudebouz R.,Firpo J.,Tello C.,56 480,Camp Nou (Barcelona),LaLiga - Round 1
21.08.2017 21:15,Levante,Villarreal,1-0Finished,Alegria A.,Bardhi E.,Campana J.,Chema,Fernandez R. (G),Jason,Lerma J.,Morales J. L. (C),Lopez I.,Postigo S.,Unal E.,Marti R.,null,null,Unal E.,Costa J. (C),Fernandez A. (G),Fornals P.,Gonzalez A.,Rodri,Ruiz V.,Rukavina A.,Sansone N.,Trigueros M.,Unal E.,Asenjo S.,Castillejo S.,Cheryshev D.,12 942,Estadi Ciutat de Val?ncia (Valencia),LaLiga - Round 1
19.08.2017 19:15,Celta Vigo,Real Sociedad,2-3Finished,Alvarez S. (G),Aspas I.,Cabral G.,Fontas A.,Gomez M.,Jonny,Jozabed,Radoja N.,Mallo H. (C),Sisto P.,Zurutuza D.,Cheikh P.,Guidetti J.,null,Zurutuza D.,Elustondo A.,Illarramendi A.,Navas R.,Odriozola A.,Oyarzabal M.,Prieto X. (C),Rodrigues K.,Rulli G. (G),Willian Jose,Zurutuza D.,Guridi J.,Januzaj A.,Martinez C.,16 961,Estadio de Bala?dos (Vigo),LaLiga - Round 1
20.08.2017 23:15,Dep. La Coruna,Real Madrid,0-3Finished,Andone F.,Bakkali Z.,Borges C.,Cartabia F.,Guilherme,Juanfran,Luisinho,Ruben (G),Mosquera P. (C),Schar F.,Ramos S. (C),Dominguez J.,Galan B.,Gil C.,Ramos S. (C),Benzema K.,Carvajal D.,Casemiro,Fernandez N.,Isco,Kroos T.,Marcelo,Modric L.,Navas K. (G),Ramos S. (C),Ronaldo C.,Vallejo J.,null,27 770,Estadio Municipal de Riazor (La Coru?a),LaLiga - Round 1
20.08.2017 19:15,Ath Bilbao,Getafe,0-0Finished,Arrizabalaga K. (G),Balenziaga M.,Benat,de Marcos O.,Garcia R.,Laporte A.,Muniain I.,San Jose M.,Nunez U.,Susaeta M. (C),Suarez D.,Alvarez Y.,Iturraspe A.,null,Suarez D.,Cala J.,Djene,Fajr F.,Guaita (G),Jimenez A.,Molina J. (C),Molinero F.,Ndiaye A.,Shibasaki G.,Suarez D.,Pacheco D.,null,null,37 884,Estadio San Mam?s (Bilbao),LaLiga - Round 1
18.08.2017 23:15,Valencia,Las Palmas,1-0Finished,Cancelo J.,Garay E.,Gaya J.,Medran A.,Neto (G),Parejo D.,Rodrigo,Vezo R.,Soler C.,Vidal N.,Vitolo,Gabriel Paulista,Montoya M.,Nani,Vitolo,Calleri J.,Castellano D.,Chichizola L. (G),Halilovic A.,Lemos M.,Navarro X.,Simon D.,Tana,Viera J.,Vitolo,Gomez V.,null,null,35 971,Estadio de Mestalla (Valencia),LaLiga - Round 1
19.08.2017 23:15,Sevilla,Espanyol,1-1Finished,Corchia S.,Ganso,Kjaer S.,Lasso Borja,Lenglet C.,Muriel L.,Navas J. (C),N'Zonzi S.,Nolito,Sarabia P.,Piatti P.,Carrico D.,Vazquez F.,null,Piatti P.,Fuego J.,Jurado J. M.,Leo Baptistao,Lopez D.,Lopez J.,Lopez P. (G),Martin A.,Moreno G. (C),Naldo,Piatti P.,Duarte O.,Sanchez V.,Vazquez A.,30 487,Estadio Ram?n S?nchez Pizju?n (Sevilla),LaLiga - Round 1
18.08.2017 21:15,Leganes,Alaves,1-0Finished,Eraso J.,Gabriel,Guerrero,Mantovani M.,Munoz E.,Omar,Perez R.,Rico D.,Pichu Cuellar (G),Szymanowski A.,Wakaso M.,Serantes J.,Siovas D.,Tito,Wakaso M.,Burgui,Ely R.,Garcia M.,Ibai,Pacheco F. (G),Pedraza A.,Santos C.,Sobrino R.,Vigaray C.,Wakaso M.,Galilea E.,Laguardia V.,null,9 231,Estadio Municipal de Butarque (Leganes),LaLiga - Round 1
25.08.2017 23:00,Betis,Celta Vigo,2-1Finished,Adan A. (G),Barragan A.,Camarasa V.,Durmisi R.,Feddal Z.,Garcia J.,Guardado A.,Joaquin,Guerrero F.,Leon S.,Wass D.,Boudebouz R.,Firpo J.,null,Wass D.,Aspas I.,Gomez M.,Gomez S.,Jonny,Jozabed,Mallo H.,Radoja N.,Roncaglia F.,Sisto P.,Wass D.,Guidetti J.,null,null,43 801,Estadio Benito Villamarín (Sevilla),LaLiga - Round 2
26.08.2017 21:15,Girona,Malaga,1-0Finished,Aday,Alcala P.,Bernardo,Garcia B.,Granell A. (C),Iraizoz G. (G),Maffeo P.,Pons P.,Muniesa M.,Portu,Rosales R.,Suarez J.,null,null,Rosales R.,Baston B.,Baysse P.,Hernandez L.,Jimenez R. (G),Juankar,Juanpi,Kuzmanovic Z.,Mula A.,Recio (C),Rosales R.,Keko,Munoz L.,Penaranda A.,9 748,Estadio Municipal de Montilivi (Girona),LaLiga - Round 2
26.08.2017 21:15,Levante,Dep. La Coruna,2-2Finished,Alegria A.,Bardhi E.,Campana J.,Chema,Fernandez R. (G),Jason,Lerma J.,Morales J. L. (C),Lopez I.,Postigo S.,Sidnei,Marti R.,null,null,Sidnei,Bakkali Z.,Cartabia F.,Colak E.,Guilherme,Juanfran,Luisinho,Mosquera P. (C),Ruben (G),Schar F.,Sidnei,Galan B.,Gil C.,Oscar Pinchi,16 345,Estadi Ciutat de Val?ncia (Valencia),LaLiga - Round 2
26.08.2017 19:15,Alaves,Barcelona,0-2Finished,Alexis,Ely R.,Garcia M. (C),Ibai,Pacheco F. (G),Pedraza A.,Pina T.,Sobrino R.,Romero O.,Vigaray C.,Vidal A.,Galilea E.,Hernandez H.,Laguardia V.,Vidal A.,Busquets S.,Deulofeu G.,Iniesta A. (C),Messi L.,Pique G.,Rakitic I.,Roberto S.,ter Stegen M. (G),Umtiti S.,Vidal A.,Rafinha,Suarez L.,Vermaelen T.,14 934,Estadio Mendizorrotza (Vitoria-Gasteiz),LaLiga - Round 2
27.08.2017 21:15,Getafe,Sevilla,0-1Finished,Antunes V.,Arambarri M.,Bergara M.,Cala J.,Djene,Fajr F.,Guaita (G),Ndiaye A.,Molina J. (C),Shibasaki G.,Rico S. (G),Jimenez A.,Pacheco D.,null,Rico S. (G),Escudero S.,Gabriel Mercado,Ganso,Kjaer S.,Krohn-Dehli M.,Navas J.,Nolito,Pareja N. (C),Pizarro G.,Rico S. (G),Banega E.,Carrico D.,Soria D.,9 427,Coliseum Alfonso Perez (Getafe),LaLiga - Round 2
