HomeTeam,AwayTeam,Team1 Total Points,Team2 Total Points,Team1 Home Points,Team1 Away Points,Team2 Home Points,Team2 Away Points
Leganes,Alaves,3,0,3,0,0,0
Valencia,Las Palmas,3,0,3,0,0,0
Celta,Sociedad,0,3,0,0,0,3
Girona,Ath Madrid,1,1,1,0,0,1
Sevilla,Espanol,1,1,1,0,0,1
Ath Bilbao,Getafe,1,1,1,0,0,1
Barcelona,Betis,3,0,3,0,0,0
La Coruna,Real Madrid,0,3,0,0,0,3
Levante,Villarreal,3,0,3,0,0,0
Malaga,Eibar,0,3,0,0,0,3
Betis,Celta,3,0,3,0,0,0
Sociedad,Villarreal,6,0,3,3,0,0
Alaves,Barcelona,0,6,0,0,3,3
Girona,Malaga,4,0,4,0,0,0
Las Palmas,Ath Madrid,0,4,0,0,0,4
Levante,La Coruna,4,1,4,0,0,1
Eibar,Ath Bilbao,3,4,0,3,1,3
Espanol,Leganes,1,6,0,1,3,3
Getafe,Sevilla,1,4,0,1,1,3
Real Madrid,Valencia,4,4,1,3,3,1
Leganes,Getafe,6,4,3,3,0,4
Barcelona,Espanol,9,1,6,3,0,1
Real Madrid,Levante,5,5,2,3,4,1
Sevilla,Eibar,7,3,4,3,0,3
Valencia,Ath Madrid,5,5,4,1,0,5
Ath Bilbao,Girona,7,4,4,3,4,0
Celta,Alaves,3,0,3,0,0,0
La Coruna,Sociedad,1,9,0,1,3,6
Villarreal,Betis,3,3,3,0,3,0
Malaga,Las Palmas,0,3,0,0,0,3
Eibar,Leganes,6,6,3,3,3,3
Ath Madrid,Malaga,8,0,3,5,0,0
Betis,La Coruna,6,1,6,0,0,1
Getafe,Barcelona,4,12,0,4,6,6
Levante,Valencia,6,6,5,1,4,2
Alaves,Villarreal,0,6,0,0,3,3
Girona,Sevilla,4,10,4,0,4,6
Las Palmas,Ath Bilbao,6,7,3,3,4,3
Sociedad,Real Madrid,9,8,3,6,2,6
Espanol,Celta,4,3,3,1,3,0
Barcelona,Eibar,15,6,9,6,3,3
Valencia,Malaga,9,0,7,2,0,0
Ath Bilbao,Ath Madrid,7,11,4,3,3,8
La Coruna,Alaves,4,0,3,1,0,0
Leganes,Girona,7,5,4,3,4,1
Real Madrid,Betis,8,9,2,6,6,3
Sevilla,Las Palmas,13,6,7,6,3,3
Celta,Getafe,4,5,4,0,0,5
Levante,Sociedad,9,9,8,1,3,6
Villarreal,Espanol,7,5,4,3,3,2
Alaves,Real Madrid,0,11,0,0,2,9
Ath Madrid,Sevilla,14,13,6,8,7,6
Girona,Barcelona,5,18,4,1,9,9
Malaga,Ath Bilbao,1,8,1,0,4,4
Eibar,Celta,6,7,3,3,4,3
Espanol,La Coruna,8,4,6,2,3,1
Getafe,Villarreal,8,7,3,5,4,3
Las Palmas,Leganes,6,10,3,3,4,6
Sociedad,Valencia,9,12,3,6,7,5
