team1,team2,team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
Malaga,Eibar,4,4,5.52,6.005,24.838,10,10,154,152,2
Levante,Villarreal,4,4,6.185,22,12.942,10,10,148,160,1
Dep. La Coruna,Real Madrid,4,4,6.645,95.535,27.77,10,10,152,172,2
Barcelona,Betis,4,4,109,13.225,56.48,10,10,170,152,1
Ath Bilbao,Getafe,4,4,24.94,6.56,37.884,10,10,158,144,0
Sevilla,Espanyol,4,4,25.32,9.78,30.487,10,10,162,154,0
Girona,Atl. Madrid,4,4,8.175,71.115,11.511,10,10,142,166,0
Celta Vigo,Real Sociedad,4,4,17.305,23.295,16.961,10,10,156,156,2
Valencia,Las Palmas,4,4,39.805,9.125,35.971,10,10,156,154,1
Leganes,Alaves,4,4,5.855,7.48,9.231,10,10,150,150,1
Real Madrid,Valencia,6,6,95.535,39.805,61.739,3,6,172,156,0
Getafe,Sevilla,4,4,6.56,25.32,9.427,9,10,144,162,2
Eibar,Ath Bilbao,6,4,6.005,24.94,5.948,4,9,152,158,2
Espanyol,Leganes,4,6,9.78,5.855,17.895,11,9,154,150,2
Las Palmas,Atl. Madrid,-1,4,9.125,71.115,20.31,19,12,154,166,2
Girona,Malaga,4,-1,8.175,5.52,9.748,13,18,142,154,1
Levante,Dep. La Coruna,6,-1,6.185,6.645,16.345,9,14,148,152,0
Alaves,Barcelona,-1,6,7.48,109,14.934,17,10,150,170,2
Betis,Celta Vigo,-1,-1,13.225,17.305,43.801,15,16,152,156,1
Real Sociedad,Villarreal,6,-1,23.295,22,19.792,11,20,156,160,1
Malaga,Las Palmas,-4,-4,5.52,9.125,22.697,18,19,154,154,2
Villarreal,Betis,-4,3,22,13.225,18.638,20,12,160,152,1
Celta Vigo,Alaves,-4,-4,17.305,7.48,6.133,18,19,156,150,1
Ath Bilbao,Girona,6,6,24.94,8.175,39.952,7,9,158,142,1
Dep. La Coruna,Real Sociedad,1,8,6.645,23.295,21.942,18,4,152,156,2
Barcelona,Espanyol,8,-1,109,9.78,72.857,4,17,170,154,1
Sevilla,Eibar,6,1,25.32,6.005,32.469,7,11,162,152,1
Valencia,Atl. Madrid,6,6,39.805,71.115,43.859,7,8,156,166,0
Real Madrid,Levante,6,6,95.535,6.185,67.789,8,10,172,148,0
Leganes,Getafe,8,-1,5.855,6.56,11.454,5,16,150,144,2
Espanyol,Celta Vigo,-4,0,9.78,17.305,14.853,17,16,154,156,1
Real Sociedad,Real Madrid,10,6,23.295,95.535,24.675,1,8,156,172,2
Las Palmas,Ath Bilbao,0,8,9.125,24.94,19.149,15,4,154,158,1
Girona,Sevilla,1,8,8.175,25.32,10.872,11,5,142,162,2
Alaves,Villarreal,-7,0,7.48,22,13.887,19,16,150,160,2
Atl. Madrid,Malaga,6,-7,71.115,5.52,62.906,10,20,166,154,1
Betis,Dep. La Coruna,-2,-4,13.225,6.645,46.174,16,18,152,152,1
Getafe,Barcelona,3,10,6.56,109,14.922,14,3,144,170,2
Levante,Valencia,6,6,6.185,39.805,23.084,12,11,148,156,0
Eibar,Leganes,-2,3,6.005,5.855,4.986,16,7,152,150,1
Levante,Real Sociedad,7,6,6.185,23.295,17.415,12,3,148,156,1
Celta Vigo,Getafe,-4,-2,17.305,6.56,14.7,17,15,156,144,0
Villarreal,Espanyol,3,0,22,9.78,17.071,10,16,160,154,0
Real Madrid,Betis,9,3,95.535,13.225,65.102,5,11,172,152,2
Sevilla,Las Palmas,10,3,25.32,9.125,35.317,2,11,162,154,1
Dep. La Coruna,Alaves,-6,-9,6.645,7.48,18.518,18,19,152,150,1
Ath Bilbao,Atl. Madrid,3,8,24.94,71.115,43.381,8,7,158,166,2
Leganes,Girona,1,-2,5.855,8.175,9.781,10,16,150,142,0
